Date_Opened,Change_Control,Days_Open
1/2,23006,4
1/3,23007,3
1/3,23008,2
1/3,23009,1
2/,23010,5
2/,23011,1
2/,23012,13
2/,23012,13
2/,23013,1
2/,23014,1
2/,23015,1
2/,23016,1
2/,23017,0
2/,23018,0
2/,23019,1
2/1,23020,0
2/1,23021,1
2/1,23022,1
2/1,23022,1
2/1,23023,0
2/1,23024,0
2/1,23025,4
2/1,23025,4
2/1,23026,0
2/2,23027,1
2/2,23027,1
2/2,23028,1
2/2,23029,0
2/2,23030,7
2/2,23030,7
2/2,23031,1
2/2,23032,0
2/2,23033,0
3/,23034,1
3/,23035,5
3/,23036,1
3/,23037,1
3/,23038,2
3/,23039,1
3/,23039,1
3/,23040,0
3/,23040,0
3/,23040,0
3/,23040,0
3/,23041,0
3/,23042,1
3/,23042,1
3/,23043,1
3/,23044,0
3/,23045,6
3/,23045,6
3/,23046,1
3/,23046,1
3/1,23047,0
3/1,23048,1
3/1,23049,0
3/1,23049,0
3/1,23050,0
3/1,23051,5
3/1,23051,5
3/1,23052,1
3/1,23053,19
3/2,23054,0
3/2,23055,0
3/2,23056,1
3/2,23057,1
3/2,23058,3
3/2,23059,0
3/2,23060,4
3/2,23061,0
3/2,23061,0
3/2,23062,0
3/2,23062,0
3/2,23063,1
3/2,23063,1
3/2,23064,0
3/3,23065,4
4/,23066,0
4/,23066,0
4/,23067,1
4/,23068,1
4/,23069,2
4/,23069,2
4/,23070,1
4/,23071,1
4/,23072,1
4/1,23073,1
4/1,23074,1
4/1,23075,1
4/1,23076,1
4/1,23077,1
4/1,23078,1
4/1,23079,0
4/1,23079,0
4/1,23080,13
4/1,23081,0
4/1,23081,0
4/1,23082,1
4/1,23082,1
4/1,23082,1
4/1,23083,1
4/1,23084,1
4/1,23084,1
4/1,23084,1
4/1,23085,1
4/1,23086,1
4/2,23087,46
4/2,23088,4
4/2,23088,4
4/2,23089,4
4/2,23090,1
4/2,23091,1
4/2,23092,0
4/2,23092,0
4/2,23093,1
4/2,23094,1
4/2,23094,1
4/2,23095,52
5/,23096,0
5/,23097,0
5/,23098,0
5/,23099,1
5/,23099,1
5/,23099,1
5/,23099,1
5/,23099,1
5/,23099,1
5/,23100,2
5/,23101,5
5/,23102,4
5/,23103,4
5/,23104,1
5/,23105,1
5/,23106,1
5/,23106,1
5/1,23107,14
5/1,23108,0
5/1,23109,1
5/1,23110,2
5/1,23111,0
5/1,23112,0
5/1,23113,0
5/1,23114,0
5/2,23115,1
5/2,23116,1
5/2,23116,1
5/2,23117,1
5/2,23117,1
5/2,23118,0
5/2,23118,0
5/2,23118,0
5/2,23119,1
5/2,23120,1
5/2,23120,1
5/2,23121,4
5/2,23121,4
5/3,23122,1
6/,23123,0
6/,23123,0
6/,23124,4
6/,23124,4
6/,23125,1
6/,23125,1
6/,23126,0
6/,23126,0
6/,23126,0
6/,23127,0
6/,23127,0
6/,23127,0
6/,23128,0
6/,23128,0
6/,23129,34
6/1,23130,8
6/1,23131,0
6/1,23132,0
6/1,23133,0
6/1,23134,0
6/1,23135,1
6/1,23136,4
6/1,23137,4
6/2,23138,16
6/2,23139,2
6/2,23139,2
6/2,23139,1
6/2,23140,0
6/2,23140,-1
6/2,23141,1
6/2,23141,1
6/2,23141,1
6/2,23142,1
6/2,23143,1
6/2,23144,1
6/2,23145,0
6/2,23145,0
6/2,23146,1
6/2,23147,0
6/2,23147,0
6/2,23148,1
6/2,23149,0
6/2,23150,0
6/2,23150,0
6/2,23151,88
7/,23152,0
7/,23153,0
7/,23153,0
7/,23154,0
7/,23155,54
7/,23156,0
7/1,23157,0
7/1,23158,0
7/1,23159,2
7/1,23160,2
7/1,23161,9
7/1,23162,1
7/1,23162,1
7/1,23163,1
7/1,23163,1
7/1,23164,1
7/1,23165,0
7/2,23166,0
7/2,23167,1
7/2,23168,0
7/2,23169,0
7/2,23170,1
7/2,23171,1
7/2,23172,2
7/2,23173,0
7/3,23174,1
7/3,23174,1
7/3,23174,1
7/3,23174,1
8/,23175,0
8/,23176,0
8/,23177,0
8/,23178,1
8/1,23179,32
8/1,23180,32
8/1,23181,0
8/1,23182,0
8/2,23183,0
8/2,23183,0
8/2,23184,0
8/2,23185,1
8/2,23186,1
8/2,23187,201
8/2,23188,1
8/2,23188,1
8/2,23189,0
9/,23190,0
9/,23191,0
9/,23192,4
9/,23193,0
9/,23193,0
9/,23194,1
